Module,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_maxSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_minSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_startTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_stopTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalDistance,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalTime
RSUExampleScenario.node[156].veinsmobility,15.65,0,27044,27135.5,272.483,1034.12,91
RSUExampleScenario.node[158].veinsmobility,17.6357,1.21992,27044,27136,237.568,976.922,91.5
RSUExampleScenario.node[41].veinsmobility,16.9148,0,27014,27136.5,349.456,1326.3,122
RSUExampleScenario.node[13].veinsmobility,16.25,0,27005.5,27136.5,298.674,797.066,130.5
RSUExampleScenario.node[191].veinsmobility,16.1018,1.98721,27051.5,27136.5,251.706,1043.99,84.5
RSUExampleScenario.node[1].veinsmobility,22.4552,0,27000.5,27137,357.437,906.957,136
RSUExampleScenario.node[34].veinsmobility,16.4067,0,27013,27138,281.453,790.731,124.5
RSUExampleScenario.node[438].veinsmobility,17.3898,6.9,27116,27138.5,101.591,284.116,22
RSUExampleScenario.node[166].veinsmobility,16.25,0,27045,27139,225.745,625.644,93.5
RSUExampleScenario.node[179].veinsmobility,16.25,0,27048.5,27139,218.85,620.647,90
RSUExampleScenario.node[18].veinsmobility,19,0,27006.5,27140,325.751,904.688,133
RSUExampleScenario.node[85].veinsmobility,16.0097,0,27024.5,27140,258.246,772.326,115
RSUExampleScenario.node[202].veinsmobility,16.25,0,27054.5,27140.5,213.855,621.527,85.5
RSUExampleScenario.node[192].veinsmobility,15.752,-0.123376,27051.5,27141,213.637,622.276,89
RSUExampleScenario.node[204].veinsmobility,18.9409,0,27054.5,27142,267.09,918.186,87
RSUExampleScenario.node[40].veinsmobility,15.65,0,27014,27142,248.572,662.118,127.5
RSUExampleScenario.node[247].veinsmobility,16.25,0,27067,27142.5,191.333,626.621,75
RSUExampleScenario.node[220].veinsmobility,19.1875,0,27059,27143,264.606,913.664,83.5
RSUExampleScenario.node[181].veinsmobility,16,0,27048.5,27143,257.426,872.089,94
RSUExampleScenario.node[174].veinsmobility,15.3923,0,27047.5,27143.5,251.207,861.253,95.5
RSUExampleScenario.node[70].veinsmobility,15.65,0,27020.5,27143.5,306.672,1066.21,122.5
RSUExampleScenario.node[131].veinsmobility,19.7075,0,27036.5,27144,313.149,909.107,107
RSUExampleScenario.node[94].veinsmobility,15.0118,0,27026.5,27144,232.921,660.122,117
RSUExampleScenario.node[86].veinsmobility,16.0959,-0.0386506,27024.5,27145,325.255,1064.27,120
RSUExampleScenario.node[225].veinsmobility,16.4595,0,27060,27145.5,265.763,898.211,85
RSUExampleScenario.node[189].veinsmobility,16.4081,0,27051,27145.5,258.914,1069.13,94
RSUExampleScenario.node[279].veinsmobility,15.65,0,27076,27146,175.127,662.43,69.5
RSUExampleScenario.node[93].veinsmobility,16.29,0,27026,27146.5,296.039,707.279,120
RSUExampleScenario.node[3].veinsmobility,21.2414,0,27001.5,27146.5,326.914,844.023,144.5
RSUExampleScenario.node[261].veinsmobility,15.4383,6.9,27071.5,27146.5,198.93,1032.76,74.5
RSUExampleScenario.node[248].veinsmobility,16.2338,1.6038,27067,27147,253.788,864.487,79.5
RSUExampleScenario.node[229].veinsmobility,16.75,0,27061,27147,265.104,870.608,85.5
RSUExampleScenario.node[91].veinsmobility,16.25,0,27025.5,27148,283.326,686.089,122
RSUExampleScenario.node[65].veinsmobility,22.25,0,27019,27151,368.953,1313.15,131.5
RSUExampleScenario.node[182].veinsmobility,16.25,0,27049,27151,246.958,791.73,101.5
RSUExampleScenario.node[265].veinsmobility,16.8072,0,27073,27151,256.291,881.249,77.5
RSUExampleScenario.node[180].veinsmobility,19.75,0,27048.5,27153.5,251.402,767.881,104.5
RSUExampleScenario.node[162].veinsmobility,19.3935,0,27044.5,27153.5,264.705,768.877,108.5
RSUExampleScenario.node[129].veinsmobility,19.75,0,27036.5,27153.5,268.505,768.766,116.5
RSUExampleScenario.node[115].veinsmobility,15,0,27033.5,27154,231.231,880.013,120
RSUExampleScenario.node[537].veinsmobility,14.4,6.9,27144.5,27154,35.2736,109.417,9
RSUExampleScenario.node[141].veinsmobility,19.25,0,27039,27154,255.381,779.965,114.5
RSUExampleScenario.node[169].veinsmobility,19.2575,0,27046,27154.5,262.94,774.882,108
RSUExampleScenario.node[54].veinsmobility,23.75,0,27017,27155,509.527,1589.08,137.5
RSUExampleScenario.node[288].veinsmobility,15.7,-0.774389,27078,27155,223.201,899.898,76.5
RSUExampleScenario.node[132].veinsmobility,17.75,0,27037,27155.5,242.706,657.762,118
RSUExampleScenario.node[176].veinsmobility,18.9972,0,27048,27155.5,250.641,783.877,107
RSUExampleScenario.node[157].veinsmobility,19.0071,0,27044,27155.5,253.868,769.68,111
RSUExampleScenario.node[149].veinsmobility,15.85,0,27042,27155.5,230.628,868.005,113
RSUExampleScenario.node[238].veinsmobility,18.8518,0,27064,27156.5,234.656,764.75,92
RSUExampleScenario.node[250].veinsmobility,18.3615,0,27068,27157.5,222.416,766.452,89
RSUExampleScenario.node[311].veinsmobility,16.25,1.38022,27084.5,27158,202.401,798.89,73
RSUExampleScenario.node[185].veinsmobility,16.8045,0,27050.5,27158.5,241.099,888.865,107.5
RSUExampleScenario.node[281].veinsmobility,19,0,27076.5,27158.5,215.269,762.737,81.5
RSUExampleScenario.node[304].veinsmobility,16.25,0,27081.5,27158.5,241.453,876.196,76.5
