module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed
node[217],15.9753,0.956758,27033.0,27094.5,171.457,636.741,61.0,True,1,0,10.438377049180328
node[47],16.25,0.0,27008.5,27095.0,211.018,752.8860000000001,86.0,True,0,0,8.754488372093023
node[245],15.85,2.78876,27037.0,27095.0,160.59,664.508,57.5,True,0,0,11.556660869565219
node[509],9.78197,2.50121,27075.0,27095.5,36.8197,107.875,20.0,True,0,0,5.39375
node[107],19.0,0.0,27017.5,27095.5,225.107,679.416,77.5,True,1,0,8.766658064516129
node[204],18.8714,3.98495,27031.5,27096.0,231.312,934.311,64.0,True,1,0,14.598609375
node[212],15.6909,1.8707200000000002,27032.5,27096.0,172.359,642.7090000000001,63.0,True,0,0,10.20173015873016
node[300],16.2454,6.15,27045.0,27096.0,156.172,605.123,50.5,True,0,0,11.982633663366338
node[388],16.9458,5.11889,27057.5,27097.0,144.501,495.975,39.0,True,0,0,12.717307692307694
node[294],15.0,7.1,27044.0,27097.5,153.497,661.238,53.0,True,0,0,12.476188679245285
node[180],16.52,4.25274,27027.0,27098.0,234.99599999999998,951.091,70.5,True,0,0,13.490652482269503
node[253],16.95,5.7,27038.0,27098.0,208.455,879.535,59.5,True,0,0,14.782100840336135
node[276],15.65,2.0975,27041.0,27098.5,158.645,631.13,57.0,True,0,0,11.072456140350877
node[322],21.25,3.16847,27047.5,27100.0,196.075,651.441,52.0,True,2,0,12.527711538461539
node[152],16.3036,0.0,27023.5,27101.0,228.84799999999998,753.064,77.0,True,0,0,9.780051948051948
node[3],16.25,0.0,27001.0,27101.5,287.445,1082.45,100.0,True,1,0,10.8245
node[45],15.85,0.0,27008.0,27101.5,238.895,994.3860000000001,93.0,True,3,0,10.692322580645163
node[71],16.2936,0.0,27012.5,27102.0,255.05900000000003,909.2919999999999,89.0,True,0,0,10.216764044943819
node[347],16.3701,6.9,27051.5,27102.5,150.68,633.623,50.5,True,1,0,12.546990099009902
node[40],18.5,0.0,27007.0,27104.5,252.65200000000002,901.898,97.0,True,0,0,9.297917525773196
node[288],15.9448,5.5,27042.5,27104.5,196.755,877.687,61.5,True,0,0,14.271333333333333
node[141],21.0,0.0,27022.5,27105.0,211.438,667.922,82.0,True,0,0,8.145390243902439
node[88],16.25,0.0,27015.5,27105.5,212.579,674.268,89.5,True,1,0,7.5337206703910615
node[6],20.1022,0.0,27001.5,27106.0,300.339,1005.39,104.0,True,0,0,9.667211538461538
node[172],15.6715,5.59778,27026.0,27108.0,209.668,1004.13,81.5,True,2,0,12.320613496932515
node[220],19.3898,0.0,27033.5,27108.5,232.33,753.818,74.5,True,0,0,10.118362416107383
node[309],16.0,5.5240800000000005,27046.0,27109.0,183.579,754.416,62.5,True,0,0,12.070656000000001
node[660],16.4177,2.35,27096.0,27109.5,52.3587,115.381,13.0,True,0,0,8.875461538461538
node[196],16.25,0.0,27030.5,27110.0,197.483,674.6410000000001,79.0,True,1,0,8.539759493670887
node[267],16.25,6.9,27039.5,27112.5,213.146,1017.31,72.5,True,2,0,14.031862068965516
node[121],21.5,0.0,27020.0,27115.0,291.94599999999997,1061.13,94.5,True,2,0,11.228888888888891
node[272],15.5,0.0,27040.0,27115.0,191.858,687.699,74.5,True,2,0,9.230859060402684
node[99],21.5,0.0,27017.0,27115.5,316.665,1059.4,98.0,True,3,0,10.810204081632653
node[291],16.25,6.1,27043.5,27116.0,202.324,987.336,72.0,True,3,0,13.713000000000001
node[290],16.25,0.0,27043.0,27117.0,211.907,685.433,73.5,True,0,0,9.325619047619048
node[50],21.5,0.0,27009.0,27118.0,330.847,1076.6,108.5,True,1,0,9.92258064516129
node[147],20.5985,0.0,27023.0,27118.5,253.227,1061.18,95.0,True,2,0,11.170315789473685
node[114],21.1825,0.0,27018.5,27119.0,298.56,1082.91,100.0,True,2,0,10.8291
node[154],21.6692,0.0,27024.0,27121.0,281.10400000000004,1083.92,96.5,True,2,0,11.232331606217617
node[421],15.5,1.71685,27062.5,27125.0,182.09099999999998,677.922,62.0,True,1,0,10.934225806451613
node[9],15.65,0.0,27002.0,27125.0,261.274,1035.65,122.5,True,2,0,8.454285714285716
node[117],16.25,0.0,27019.0,27126.0,251.11,1045.95,106.5,True,2,0,9.82112676056338
node[28],19.25,0.0,27005.5,27126.5,350.121,1113.52,120.5,True,1,0,9.240829875518672
node[81],19.5,0.0,27014.5,27126.5,326.70099999999996,1120.12,111.5,True,3,0,10.04591928251121
node[7],19.4,0.0,27001.5,27126.5,317.233,978.4960000000001,124.5,True,2,0,7.859405622489961
node[84],15.888,0.0,27015.0,27127.5,254.77,1033.02,112.0,True,4,0,9.223392857142857
node[463],15.0,0.0,27069.0,27128.5,116.287,272.21,59.0,True,0,0,4.613728813559321
node[153],21.0,0.0,27024.0,27129.5,315.384,997.008,105.0,True,0,0,9.495314285714286
node[10],18.5234,0.0,27002.0,27130.0,283.149,993.168,127.5,True,2,0,7.789552941176471
node[51],19.4,0.0,27009.5,27130.0,272.29,972.6489999999999,120.0,True,2,0,8.105408333333333
node[4],19.75,0.0,27001.5,27130.0,362.87800000000004,1000.6,128.0,True,0,0,7.8171875
node[41],19.75,0.0,27007.5,27130.0,333.918,1007.11,122.0,True,0,0,8.255
node[110],18.5337,0.0,27018.0,27130.0,289.476,1004.57,111.5,True,0,0,9.009596412556053
node[459],15.1357,0.0,27068.5,27130.5,120.88799999999999,274.156,61.5,True,0,0,4.457821138211382
node[806],11.6935,6.14479,27118.5,27130.5,30.511999999999997,115.396,11.5,True,1,0,10.034434782608695
node[29],18.5,0.0,27006.0,27130.5,304.712,989.659,124.0,True,0,0,7.981120967741935
node[100],15.7708,0.0,27017.0,27130.5,279.529,1029.62,113.0,True,4,0,9.111681415929203
node[19],18.5415,0.0,27003.5,27132.0,308.051,1003.06,128.0,True,0,0,7.83640625
node[307],16.25,0.0,27045.5,27132.5,291.719,1131.45,86.5,True,2,0,13.080346820809249
node[122],18.5563,0.0,27020.0,27132.5,296.824,1127.74,112.0,True,0,0,10.069107142857144
node[139],15.4807,0.0,27022.0,27132.5,269.34,1055.15,110.0,True,3,0,9.592272727272729
node[327],17.5,3.5,27048.5,27133.0,294.911,1195.21,84.0,True,2,0,14.228690476190476
node[266],16.25,0.0,27039.5,27133.5,167.03799999999998,281.849,93.5,True,2,0,3.014427807486631
node[175],15.8184,0.0,27026.5,27134.0,256.16,1061.88,107.0,True,1,0,9.92411214953271
