Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_maxSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_minSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_startTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_stopTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalDistance,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalTime
ProvidenciaExampleScenario.node[78].veinsmobility,15.7353,0,27014.5,27078.5,168.961,492.277,63.5
ProvidenciaExampleScenario.node[79].veinsmobility,15,0,27014.5,27160,288.038,692.703,145
ProvidenciaExampleScenario.node[80].veinsmobility,20.0867,6.9,27014.5,27060.5,186.73,765.217,45.5
ProvidenciaExampleScenario.node[81].veinsmobility,19.5,0,27014.5,27126.5,326.701,1120.12,111.5
ProvidenciaExampleScenario.node[82].veinsmobility,16.25,0,27015,27195.5,317.368,645.502,180
ProvidenciaExampleScenario.node[83].veinsmobility,15.0988,0,27015,27087.5,188.984,625.027,72
ProvidenciaExampleScenario.node[84].veinsmobility,15.888,0,27015,27127.5,254.77,1033.02,112
ProvidenciaExampleScenario.node[85].veinsmobility,16.25,7.1,27015,27077,187.611,870.108,61.5
ProvidenciaExampleScenario.node[86].veinsmobility,16.25,0,27015.5,27075.5,162.427,485.946,59.5
ProvidenciaExampleScenario.node[87].veinsmobility,16.6391,0,27015.5,27088.5,183.836,602.895,72.5
ProvidenciaExampleScenario.node[88].veinsmobility,16.25,0,27015.5,27105.5,212.579,674.268,89.5
ProvidenciaExampleScenario.node[89].veinsmobility,16.25,0,27015.5,27293.5,583.923,1515.67,277.5
ProvidenciaExampleScenario.node[90].veinsmobility,18.8109,6.9,27015.5,27063.5,173.261,768.056,47.5
ProvidenciaExampleScenario.node[91].veinsmobility,16.7769,0,27015.5,27204,437.537,1349.74,188
ProvidenciaExampleScenario.node[92].veinsmobility,16.4742,-0.503887,27016,27142.5,256.269,666.896,126
ProvidenciaExampleScenario.node[93].veinsmobility,19.4,0,27016,27210,485.312,1574.1,193.5
ProvidenciaExampleScenario.node[94].veinsmobility,15.5,0,27016,27247,442.742,1304.93,230.5
ProvidenciaExampleScenario.node[95].veinsmobility,16.25,0,27016.5,27279,577.945,1864.91,262
ProvidenciaExampleScenario.node[96].veinsmobility,21.25,0,27016.5,27219.5,458.597,1449.18,202.5
ProvidenciaExampleScenario.node[97].veinsmobility,15.65,6.9,27016.5,27072,154.778,751.604,55
ProvidenciaExampleScenario.node[98].veinsmobility,19.65,0,27016.5,27169,414.323,1295.3,152
ProvidenciaExampleScenario.node[99].veinsmobility,21.5,0,27017,27115.5,316.665,1059.4,98
ProvidenciaExampleScenario.node[100].veinsmobility,15.7708,0,27017,27130.5,279.529,1029.62,113
ProvidenciaExampleScenario.node[101].veinsmobility,15.7778,5.41161,27017,27084,187.765,876.551,66.5
ProvidenciaExampleScenario.node[102].veinsmobility,15.6337,0,27017,27141,253.167,620.995,123.5
ProvidenciaExampleScenario.node[103].veinsmobility,19.25,6.9,27017,27064,178.231,772.912,46.5
