module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed,std_speed
node[2107],18.0664,0.0,27312.0,27624.0,602.9540000000001,1461.2,311.5,True,26,0,4.678525528410915,5.766478320620152
node[2108],16.0,0.0,27312.5,27460.5,276.746,811.36,147.5,True,0,0,5.51083505220339,5.238791288320752
node[2109],15.65,0.0,27312.5,27428.5,318.072,1064.45,115.5,True,0,0,9.239012872727274,4.731018052339511
node[210],15.7112,0.0,27032.0,27330.0,526.278,1075.46,297.5,True,51,0,3.586931082857143,4.732754707859971
node[2110],15.7935,0.0,27313.0,27827.0,816.755,1619.48,513.5,True,90,0,3.153037922590068,3.9974313936384616
node[2111],15.3889,0.0,27313.0,27900.0,955.15,1894.52,587.0,False,76,0,3.2170002696763205,4.080870315579971
node[2112],7.10637,0.2671,27313.0,27344.5,50.6589,114.35799999999999,31.0,True,7,0,3.6741830645161295,2.0225601256390084
node[2113],16.25,-0.392982,27313.0,27652.0,634.9119999999999,1376.03,338.5,True,54,0,4.026381237961595,5.469850935066089
node[2114],19.5666,0.0,27313.5,27548.5,381.55,685.1060000000001,234.5,True,1,0,2.9189679313432837,4.989072886949343
node[2115],19.6759,-0.9498139999999999,27313.5,27611.5,582.04,1379.24,297.5,True,24,0,4.582492169109244,5.923397468554975
node[2116],15.0,0.0,27313.5,27454.5,260.976,653.691,140.5,True,3,0,4.666190358718861,4.9283936595305935
node[2117],15.7661,0.0,27313.5,27501.5,377.55199999999996,1059.76,187.5,True,26,0,5.634162310133333,4.897706465145195
node[2118],15.9444,0.0,27313.5,27900.0,747.925,782.842,586.5,False,118,0,1.3113612334185847,2.746249695418137
node[2119],19.1189,0.0,27313.5,27421.0,233.726,778.444,107.0,True,14,0,7.30828246728972,7.109302562662647
node[211],15.6413,0.0,27032.0,27900.0,931.702,341.57199999999995,868.0,False,0,165,0.3893118375126728,2.1199744918640357
node[2120],18.8778,0.0,27313.5,27490.0,334.37800000000004,780.676,176.0,True,0,0,4.418563046590908,6.2270955131136345
node[2121],18.3911,0.0,27314.0,27486.5,374.88300000000004,879.846,172.0,True,35,0,5.137872060465116,6.052664487935781
node[2122],16.5748,0.0,27314.0,27485.5,359.915,1030.78,171.0,True,24,0,6.010716173976608,5.16127560641032
node[2123],15.65,0.0,27314.0,27392.0,184.21900000000002,664.612,77.5,True,4,0,8.595328839354838,5.233009228029554
node[2124],18.0264,0.0,27314.0,27423.0,238.514,793.265,108.5,True,15,0,7.3423894032258055,7.112254581173271
node[2125],17.7714,0.0,27314.0,27422.0,314.267,1093.87,107.5,True,0,0,10.118488038604651,4.85982822536568
node[2126],18.75,0.0,27314.5,27773.0,848.06,1786.74,458.0,True,33,0,3.8357012948689957,5.687240963165006
node[2127],19.1539,-0.489491,27314.5,27415.0,238.81400000000002,783.8969999999999,100.0,True,12,0,7.864949231999999,7.387601197238192
