Module;maxSpeed;minSpeed;startTime;stopTime;totalCO2Emission;totalDistance;totalTime
671;16.25;4.77994;27097.5;27147;160.015;606.237;49
158;16.1482;0;27024;27147;301.581;1112.55;122.5
120;22.6821;0;27019.5;27147.5;456.607;1230;127.5
404;18.4964;0;27059.5;27147.5;262.579;907.234;87.5
203;16.25;0;27031.5;27147.5;316.182;1107.91;115.5
672;16.25;0;27098;27149;128.367;299.181;50.5
399;18.4861;0;27059;27149;263.228;912.535;89.5
311;16.5122;2.65723;27046;27149;303.395;1115;102.5
292;16.7179;0;27043.5;27149;313.154;1084.1;105
659;15.2894;5.9;27096;27149.5;148.714;632.773;53
221;15.65;0;27033.5;27150;300.079;1063.32;116
649;16.25;0;27095;27150.5;144.126;294.027;55
111;22.25;0;27018;27151;357.271;1309.74;132.5
465;18.9611;2.02418;27069;27151;247.664;909.334;81.5
280;15.8712;0;27041.5;27151;288.927;1022.41;109
319;16.25;0;27047.5;27152;238.996;786.203;104
118;21.4959;0;27019;27153;359.559;1289.49;133.5
49;17.8164;0;27008.5;27153;334.238;999.848;144
24;20;0;27004.5;27153;441.895;1405.18;148
243;19.25;0;27036.5;27153;276.373;765.277;116
721;16.25;4.64015;27105.5;27153.5;148.02;625.667;47.5
387;16.25;0;27057;27153.5;290.45;906.401;96
405;15.9235;0;27060;27153.5;261.76;849.936;93
213;15;0;27032.5;27153.5;252.079;838.956;120.5
14;15.65;0;27002.5;27154;302.195;921.324;151
251;19.25;0;27038;27154;266.583;768.171;115.5
313;18.5;0;27046.5;27154.5;247.417;768.471;107.5
413;16.25;0;27061;27155;262.885;865.834;93.5
461;16.25;0;27068.5;27155;259.21;879.591;86
72;15.5279;0;27013;27155.5;289.584;914.207;142
143;21.0405;0;27022.5;27155.5;337.282;1321.4;132.5
371;19.25;0;27055;27155.5;243.316;745.01;100
478;16.75;0;27071;27156;166.479;446.361;84.5
296;18.7155;0;27044;27156;250.885;775.106;111.5
156;20.8181;0;27024;27156.5;343.151;1306.3;132
257;18;0;27038.5;27156.5;257.957;774.596;117.5
283;18.1288;0;27042;27156.5;244.935;767.385;114
457;16.25;1.68873;27068;27156.5;236.72;877.243;88
209;14.4618;0;27032;27156.5;252.535;862.453;124
483;13.4;0;27071.5;27157.5;155.754;322.41;85.5
187;15.1362;0;27028.5;27158;271.078;886.879;129
336;19.0668;0;27049.5;27158;246.637;756.361;108
523;19.3736;0;27077;27158;224.909;766.448;80.5
73;21.4415;0;27013.5;27158.5;417.26;1411.26;144.5
333;19.6568;0;27049;27158.5;264.486;772.463;109
42;20.0659;0;27007.5;27159;442.187;1316.05;151
344;18.327;0;27051;27159;245.66;764.437;107.5
473;16.0684;0;27070.5;27159;244.2;893.074;88
79;15.0563;0;27014.5;27160;289.29;692.724;145
500;13.2599;0;27074;27160;160.006;325.141;85.5
176;16.25;0;27026.5;27160.5;265.768;688.113;133.5
389;16.25;0;27057.5;27160.5;233.318;804.48;102.5
353;18.9164;0;27052.5;27160.5;268.038;777.327;107.5
441;18;0;27066;27161;235.985;771.368;94.5
537;15;1.47669;27080;27161;207.226;839.456;80.5
379;18;0;27056;27161.5;239.82;770.862;105
635;11.9;0;27093.5;27162;123.67;333.276;68
214;15.86;0;27032.5;27162.5;251.946;693.938;129.5
403;19.5712;0;27059.5;27162.5;256.357;756.369;102.5
367;18.3902;0;27054.5;27162.5;253.2;779.055;107.5
524;15.4248;0.243278;27077.5;27162.5;224.875;855.976;84.5
378;16.3431;0;27056;27162.5;246.421;861.419;106
415;19.0883;0;27061.5;27163.5;243.5;765.208;101.5
232;16.5795;0;27035.5;27164.5;289.581;912.977;128.5
513;15.07;0.950619;27075.5;27164.5;225.686;900.648;88.5
435;15.4807;0;27065;27165;229.99;808.173;99.5
396;18.0648;0;27058;27165;236.816;781.025;106.5
430;18.75;0;27064.5;27165.5;232.148;661.771;100.5
433;18;0;27064.5;27165.5;234.671;769.121;100.5
169;19.4;0;27025.5;27165.5;394.149;1296.93;139.5
547;16.75;0;27081.5;27166;176.169;480.076;84
419;19.0792;0;27062;27166;248.955;787.484;103.5
450;18.6594;0;27067.5;27166;240.136;784.521;98
531;15.5453;0;27079;27166;218.833;885.338;86.5
425;15.2889;0;27063;27166;222.548;862.298;102.5
386;16.6574;0;27057;27166.5;236.63;692.523;109
250;16;0;27038;27167;255.873;745.862;128.5
533;19.604;0;27079.5;27167;230.565;766.924;87
543;16.2945;0;27080.5;27167;231.01;896.596;86
774;16.5;0;27113;27167.5;144.583;494.056;54
199;16.25;0;27031;27167.5;266.138;691.886;136
160;15.65;0;27024.5;27167.5;280.25;903.499;142.5
