Module;maxSpeed;minSpeed;startTime;stopTime;totalCO2Emission;totalDistance;totalTime
317;19.0682;0;27085.5;27163;209.9;771.123;77
205;15.9446;0;27055;27163.5;245.463;873.738;108
99;18.35;0;27028;27164;358.141;1317.96;135.5
388;19.25;3.2825;27104;27164;197.722;770.412;59.5
323;15.3958;0;27088;27164;199.705;885.001;75.5
363;18.4546;0;27098;27164.5;198.123;771.838;66
407;19.6841;2.49228;27108;27165;198.821;771.909;56.5
413;18.5686;1.51726;27109;27165.5;200.111;762.628;56
335;15.7695;0;27091;27166;213.271;893.336;74.5
77;18.15;0;27023;27166.5;380.296;1301.46;143
194;16.5472;0;27052.5;27167.5;233.158;752.091;114.5
231;14.9765;0;27062;27167.5;227.87;858.376;105
124;18.6247;0;27035;27168;361.519;1302.56;132.5
546;15.65;6.9;27147;27168.5;75.5002;278.178;21
360;15.65;0;27097.5;27169;191.584;747.544;71
130;18.15;0;27036.5;27169;361.563;1295.42;132
425;18.0185;4.1958;27112;27169;180.995;771.092;56.5
353;15.4383;0.011344;27095.5;27169;210.808;890.414;73
109;16.3595;0;27032;27169.5;323.729;1095.29;137
136;18.2247;0;27037.5;27169.5;344.033;1305.71;131.5
172;15.65;0;27046.5;27170;281.713;945.798;123
442;19.25;5.4;27117.5;27170;176.529;770.294;52
337;15.7958;1.07055;27091.5;27170;204.058;868.483;78
350;15;0;27095;27171;179.228;692.84;75.5
134;18.0894;0;27037;27171;370.272;1312.84;133.5
396;15.0224;3.5;27105.5;27171;194.649;859.618;65
127;15.8627;0;27036;27171.5;271.627;755.962;135
232;16.25;0;27062;27172;231.114;692.31;109.5
133;15.9195;0;27037;27172.5;307.509;1100.6;135
390;16.25;0;27104.5;27172.5;184.471;594.54;67.5
399;15.3453;5.5;27106;27172.5;201.369;883.427;66
549;19.4;6.04395;27148;27173;88.2609;334.645;24.5
111;19.25;0;27032.5;27173;322.913;970.457;140
471;18.5139;7.1;27123.5;27173;169.467;779.067;49
324;14.656;0;27088.5;27173;203.642;861.356;84
367;15.65;0;27099;27174;209.047;750.381;74.5
4;16.25;0;27002;27174.5;373.366;1135.82;172
315;16.5;0;27085;27174.5;230.833;606.987;89
466;16.75;5.12038;27121.5;27175;160.67;772.614;53
610;14.4;6.9;27165;27175.5;35.2843;106.542;10
264;16.504;0;27072.5;27176;241.063;750.663;103
101;15.85;0;27028.5;27176;336.15;1141.86;147
411;15.9875;1.98753;27108.5;27177;214.186;865.769;68
483;15;3.5;27128.5;27177.5;137.132;594.306;48.5
404;15.65;1.34502;27107.5;27178;196.035;752.522;70
147;18;0;27041.5;27178.5;298.77;972.093;136.5
139;15.6276;0;27038.5;27178.5;319.607;1127.4;139.5
412;16.25;0;27109;27179.5;188.149;691.024;70
178;19.25;0;27048.5;27179.5;311.436;973.986;130.5
391;18.75;2.7548;27105;27180;216.188;863.327;74.5
428;15;2.81457;27113.5;27180;188.543;766.618;66
260;19.25;0;27071;27180;280.998;974.936;108.5
160;15.2204;0;27044.5;27180.5;319.525;1126.79;135.5
418;15.6983;0;27110.5;27180.5;210.825;890.245;69.5
447;15.8237;3.97111;27118.5;27182;177.147;754.633;63
423;19;0.133636;27112;27182.5;217.209;863.129;70
226;17.5;0;27060.5;27182.5;306.133;872.921;121.5
436;16.5;-1.04897;27115.5;27183;201.803;871.644;67
463;16.6219;7.1;27121;27183;182.069;866.931;61.5
386;20.5;0;27104;27183.5;268.221;974.838;79
195;15.65;0;27053;27184;255.467;644.782;130.5
541;16.75;5.5;27146.5;27185;120.737;498.621;38
282;15.7476;0;27077;27185;222.98;490.325;107.5
241;15.4827;0;27065;27185.5;234.493;642.391;120
439;15.1137;0;27116;27186;196.932;889.198;69.5
198;18.2354;0;27053.5;27187;352.578;1300.14;133
245;15.2359;0;27067;27187.5;242.478;658.582;120
299;15.8627;0;27080;27187.5;222.758;486.91;107
252;15.4115;0;27068.5;27188;239.701;665.446;119
467;14.9248;1.46816;27121.5;27188;191.82;865.709;66
106;22.2272;0;27030;27188.5;345.325;686.448;158
346;15.9582;0;27094.5;27189.5;210.722;646.485;94.5
470;17.5;0;27123;27189.5;235.529;852.716;66
478;16.25;6.9;27126.5;27190;171.82;859.218;63
313;15.5;0;27085;27190.5;212.269;490.671;105
431;19.25;0;27115;27191;261.199;971.75;75.5
262;18.9206;0;27072;27191;274.947;688.08;118.5
325;15.65;0;27089.5;27192.5;212.073;644.743;102.5
258;19.6875;0;27070;27192.5;401.727;1300.79;122
385;15.9608;0;27103.5;27193;199.759;643.267;89
627;19.344;6.75;27169;27193;92.3519;340.784;23.5
347;15.8202;0;27094.5;27193;206.143;484.476;98
328;19.5972;0;27090;27193;354.164;1304.9;102.5
499;17.5;2.8695;27134.5;27193.5;220.376;861.501;58.5
298;15.65;0;27080;27194.5;260.592;880.901;114
437;15.088;0;27116;27195;169.823;646.382;78.5
217;18.5;0;27058;27195;322.21;909.668;136.5
322;18.7003;0;27088;27195.5;254.167;679.075;107
378;15.5;0;27101;27195.5;189.139;490.513;94
551;18.9382;6.9;27148.5;27196;173.409;764.219;47
103;19.75;0;27029;27197;407.739;1408.38;167.5
451;15.4383;0;27120;27197.5;172.483;494.934;77
145;19.25;0;27041;27198;388.365;1416.83;156.5
355;16.25;0;27096;27199;266.782;744.495;102.5
468;16;0;27122;27199;219.075;758.608;76.5
408;16.9;0;27108.5;27199;235.147;889.218;90
557;15.4383;3.62928;27150;27199;134.776;483.743;48.5
567;19.25;6.9;27152;27199.5;182.636;772.242;47
575;20.3674;6.9;27155;27200;189.989;753.403;44.5
97;21.25;-3.42296;27027;27200.5;426.523;1099.92;173
414;18;0;27109;27203;285.856;936.963;93.5
446;19.1986;0;27118.5;27203;235.123;668.172;84
41;16.25;0;27014;27204;441.945;1329.19;189.5
611;16.2074;5.4;27166;27204;138.02;486.091;37.5
10;15.65;0;27003.5;27204.5;479.602;1321.07;200.5
453;18.5;0;27120;27204.5;209.975;628.891;84
48;19.4;0;27015.5;27204.5;477.563;1556.09;188.5
444;18.9935;0;27118;27205;243.973;691.461;86.5
63;19.4;0;27018;27205;466.741;1571.55;186.5
188;19.6718;0;27051;27205.5;361.998;1000.05;154
291;16.25;0;27078.5;27207;248.646;689.176;128
336;16.25;0;27091.5;27207;242.615;673.349;115
211;16.25;0;27056.5;27207;294.91;644.171;150
30;18.1875;0;27010.5;27207.5;494.383;1573.73;196.5
612;15.8202;5.4;27166.5;27208;130.274;497.572;41
271;16.1584;-0.419291;27074.5;27208.5;259.176;637.537;133.5
177;17.8899;0;27048;27208.5;383.86;1556.18;160
215;16.25;0;27057.5;27209;278.545;637.42;151
150;15.5;0;27042;27209;316.894;893.245;166.5
536;15;6.9;27144.5;27209;168.218;864.872;64
278;16.25;-0.931915;27076;27209.5;265.159;931.017;133
193;15;0;27052;27209.5;273.602;649.406;157
300;19.65;0;27080;27209.5;334.614;995.583;129
114;18.15;0;27033;27209.5;426.106;1570.2;176
302;18.2128;0;27080.5;27210;305.059;998.295;129
224;19.4;0;27060;27210;412.556;1568.87;149.5
223;15.9337;0;27060;27210.5;270.899;635.161;150
235;16.2859;0;27063;27211;270.473;639.838;147.5
266;15.7055;0;27073.5;27211;276.29;638.76;137
504;19.4292;0;27136;27212.5;232.188;677.46;76
237;15.799;0;27063.5;27212.5;286.804;661.204;148.5
349;15.9073;0;27095;27212.5;263.859;658.769;117
329;16.25;0;27090;27212.5;283.112;896.83;122
135;16.1072;0;27037.5;27213;391.87;1326.08;175
51;16.2636;0;27016;27213.5;449.372;1495.06;197
274;15;0;27075;27213.5;255.021;663.99;138
267;16.25;0;27073.5;27213.5;288.926;1055.33;139.5
294;16;0;27079;27214;300.74;900.282;134.5
95;19.5962;0;27027;27214.5;409.94;1053.67;187
420;15.7501;0;27111.5;27214.5;221.674;653.701;102.5
344;15.65;0;27094;27215;246.91;636.798;120.5
263;15.2294;0;27072;27215;327.417;1101.18;142.5
506;15.9538;0;27136;27215;228.854;853.161;78.5
270;15.6781;0;27074;27215.5;264.305;661.46;141
236;18.19;0;27063.5;27216;353.384;1047.91;152
511;16.717;0;27137;27216;189.642;639.889;78.5
312;16.3415;0;27084.5;27216;285.433;1034.52;131
201;21.25;0;27054.5;27216.5;424.111;1489.31;161.5
89;16.5;0;27025.5;27217;447.107;1492.15;191
440;15.85;0;27116.5;27217;222.302;659.556;100
330;15.65;0;27090.5;27217.5;244.211;636.375;126.5
500;16.1137;0;27135;27217.5;208.024;643.434;82
47;16.25;0;27015.5;27218;459.766;1361.38;202
401;18.5564;0;27106.5;27218.5;293.863;1053.29;111.5
516;15.1925;0;27139.5;27219;189.995;656.557;79
542;16.1362;0;27146.5;27219.5;183.273;634.928;72.5
384;15.65;0;27103;27220;227.168;641.124;116.5
144;23.9726;0;27040;27220.5;463.29;1296.7;180
316;16.25;0;27085.5;27221;319.831;1140.63;135
533;15.1113;0;27144;27221;180.101;640.165;76.5
462;15.6576;0;27121;27221.5;213.67;636.385;100
457;15.3;0;27120;27222;222.956;677.776;101.5
586;16.25;2.43306;27158.5;27222;171.272;636.607;63
254;22.5;0;27069;27223;411.084;1306.7;153.5
489;16.9248;0;27131;27223;213.053;639.357;91.5
553;15;0;27149;27223;166.586;649.93;73.5
493;15.6333;0;27133;27223.5;244.57;869.513;90
126;16.891;0;27035.5;27224.5;407.391;1495.75;188.5
358;16.6003;0;27097;27225;309.023;1127.84;127.5
521;15.65;0;27141.5;27225;197.587;639.508;83
583;15.3755;0;27158;27225;163.365;637.135;66.5
119;16.25;0;27034;27226;419.013;1508.75;191.5
524;15.9536;0;27142;27226.5;195.098;657.464;84
426;15;0;27113;27227.5;227.005;674.191;114
616;15.38;1.94848;27167;27228.5;167.915;638.839;61
419;15.7778;0;27111;27229;276.201;987.203;117.5
603;15.5944;0;27163.5;27230;121.906;274.414;66
522;16.9;0;27141.5;27230;219.761;674.662;88
44;21.9;0;27014.5;27231.5;446.567;1140.52;216.5
547;17.0762;1.13354;27147.5;27231.5;226.294;682.115;83.5
403;17.1;0;27107.5;27232;295.963;1014.14;124
219;20;0;27059;27232.5;389.413;1224.77;173
630;15.3512;3.67219;27169.5;27233;171.7;674.911;63
240;16;-4.08467;27064.5;27233;380.588;1071.81;168
209;14.8562;0;27055.5;27233;369.165;1049.09;177
212;22.65;0;27056.5;27233.5;404.483;1137.18;176.5
797;15.5653;6.9;27222;27233.5;41.1701;109.157;11
503;16;0;27135.5;27233.5;263.277;864.098;97.5
249;17.5;0;27067.5;27234;394.851;1533.6;166
117;22.3929;0;27034;27234.5;444.262;1065.59;200
675;15.9575;6.9;27182.5;27234.5;165.627;677.45;51.5
