Module,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_maxSpeed,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_minSpeed,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_startTime,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_stopTime,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalDistance,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalTime
ProvidenciaExampleScenario.node[381].veinsmobility,15.65,6.9,27119.5,27175.5,156.418,754.45,55.5
ProvidenciaExampleScenario.node[311].veinsmobility,15,0,27098,27176,178.505,694.69,77.5
ProvidenciaExampleScenario.node[130].veinsmobility,18.25,0,27037,27176,301.333,972.958,138.5
ProvidenciaExampleScenario.node[358].veinsmobility,15.7021,2.05024,27111.5,27176,201.446,882.738,64
ProvidenciaExampleScenario.node[393].veinsmobility,15.4383,6.9,27121,27178,164.193,693.676,56.5
ProvidenciaExampleScenario.node[366].veinsmobility,15.2937,3.53959,27114.5,27178,194.305,867.284,63
ProvidenciaExampleScenario.node[208].veinsmobility,19.25,0,27064.5,27178.5,304.213,981.025,113.5
ProvidenciaExampleScenario.node[378].veinsmobility,16.25,6.00647,27118.5,27178.5,196.411,745.573,59.5
ProvidenciaExampleScenario.node[376].veinsmobility,16.0323,1.53095,27117.5,27179.5,199.738,741.719,61.5
ProvidenciaExampleScenario.node[399].veinsmobility,15.65,6.9,27123,27180,154.201,762.508,56.5
ProvidenciaExampleScenario.node[242].veinsmobility,18.7252,0,27077.5,27181.5,260.532,982.336,103.5
ProvidenciaExampleScenario.node[443].veinsmobility,20.1822,6.9,27136.5,27182,189.112,762.513,45
ProvidenciaExampleScenario.node[49].veinsmobility,15.8173,-2.22751,27016,27183,330.141,643.238,166.5
ProvidenciaExampleScenario.node[334].veinsmobility,18.75,0,27106,27183.5,241.304,870.524,77
ProvidenciaExampleScenario.node[438].veinsmobility,18.8534,6.9,27135.5,27183.5,173.626,768.837,47.5
ProvidenciaExampleScenario.node[431].veinsmobility,17.4255,5.79655,27132,27184,205.996,688.002,51.5
ProvidenciaExampleScenario.node[187].veinsmobility,19.25,0,27057,27184,372.58,1298.63,126.5
ProvidenciaExampleScenario.node[168].veinsmobility,16.25,0,27051.5,27184.5,290.619,867.981,132.5
ProvidenciaExampleScenario.node[204].veinsmobility,16.75,0,27063,27184.5,217.781,492.42,121
ProvidenciaExampleScenario.node[402].veinsmobility,16.25,3.5,27124,27185,202.084,860.253,60.5
ProvidenciaExampleScenario.node[62].veinsmobility,15.65,0,27019.5,27185.5,308.84,643.789,165.5
ProvidenciaExampleScenario.node[450].veinsmobility,19.25,6.9,27138.5,27186,174.897,772.5,47
ProvidenciaExampleScenario.node[228].veinsmobility,15.789,0,27073,27187.5,228.377,496.336,114
ProvidenciaExampleScenario.node[105].veinsmobility,22.2272,0,27031,27188.5,340.322,683.656,157
ProvidenciaExampleScenario.node[179].veinsmobility,19.5281,0,27054.5,27190.5,289.354,677.418,135.5
ProvidenciaExampleScenario.node[226].veinsmobility,15.65,0,27072.5,27190.5,219.545,490.531,117.5
ProvidenciaExampleScenario.node[166].veinsmobility,19.7047,0,27051,27191.5,313.727,678.159,140
ProvidenciaExampleScenario.node[413].veinsmobility,17.9379,5.5,27127,27192,212.293,864.106,64.5
ProvidenciaExampleScenario.node[442].veinsmobility,15.5236,6.9,27136.5,27192,169.799,745.304,55
ProvidenciaExampleScenario.node[278].veinsmobility,16.1539,0,27088,27192.5,218.822,481.366,104
ProvidenciaExampleScenario.node[474].veinsmobility,19.25,6.9,27145.5,27192.5,180.807,764.509,46.5
ProvidenciaExampleScenario.node[444].veinsmobility,15.4513,5.1411,27137,27193.5,177.912,756.31,56
ProvidenciaExampleScenario.node[375].veinsmobility,18,3.36826,27117.5,27194,262.955,975.174,76
ProvidenciaExampleScenario.node[244].veinsmobility,20.3265,0,27078,27194,258.598,677.347,115.5
ProvidenciaExampleScenario.node[91].veinsmobility,22.5,0,27026.5,27196,435.75,1101.4,169
ProvidenciaExampleScenario.node[321].veinsmobility,16.75,0,27101.5,27196,195.461,497.239,94
ProvidenciaExampleScenario.node[282].veinsmobility,19.25,0,27088.5,27196,360.481,1295.59,107
ProvidenciaExampleScenario.node[433].veinsmobility,15.3958,6.9,27133,27196,171.298,857.685,62.5
ProvidenciaExampleScenario.node[100].veinsmobility,20.5,0,27029,27196.5,415.001,1420.31,167
