Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_SentWarnings
ProvidenciaExampleScenario.node[347].appl,1,14,0
ProvidenciaExampleScenario.node[356].appl,1,0,0
ProvidenciaExampleScenario.node[359].appl,1,9,0
ProvidenciaExampleScenario.node[130].appl,1,28,0
ProvidenciaExampleScenario.node[366].appl,1,0,0
ProvidenciaExampleScenario.node[393].appl,1,11,0
ProvidenciaExampleScenario.node[378].appl,1,9,0
ProvidenciaExampleScenario.node[208].appl,1,23,0
ProvidenciaExampleScenario.node[376].appl,1,9,0
ProvidenciaExampleScenario.node[399].appl,1,8,0
ProvidenciaExampleScenario.node[242].appl,1,21,0
ProvidenciaExampleScenario.node[443].appl,1,2,0
ProvidenciaExampleScenario.node[431].appl,1,10,0
ProvidenciaExampleScenario.node[49].appl,1,0,0
ProvidenciaExampleScenario.node[334].appl,1,15,0
ProvidenciaExampleScenario.node[438].appl,1,2,0
ProvidenciaExampleScenario.node[187].appl,1,18,0
ProvidenciaExampleScenario.node[204].appl,1,0,0
ProvidenciaExampleScenario.node[62].appl,1,0,0
ProvidenciaExampleScenario.node[402].appl,1,0,0
ProvidenciaExampleScenario.node[450].appl,1,3,0
ProvidenciaExampleScenario.node[228].appl,1,0,0
ProvidenciaExampleScenario.node[168].appl,1,2,0
ProvidenciaExampleScenario.node[179].appl,1,2,0
ProvidenciaExampleScenario.node[226].appl,1,0,0
ProvidenciaExampleScenario.node[166].appl,1,2,0
ProvidenciaExampleScenario.node[413].appl,1,13,0
ProvidenciaExampleScenario.node[442].appl,1,8,0
ProvidenciaExampleScenario.node[375].appl,1,15,0
ProvidenciaExampleScenario.node[278].appl,1,0,0
ProvidenciaExampleScenario.node[474].appl,1,2,0
ProvidenciaExampleScenario.node[444].appl,1,8,0
ProvidenciaExampleScenario.node[105].appl,1,1,0
ProvidenciaExampleScenario.node[288].appl,1,13,0
ProvidenciaExampleScenario.node[91].appl,1,16,0
ProvidenciaExampleScenario.node[321].appl,1,0,0
ProvidenciaExampleScenario.node[100].appl,1,25,0
ProvidenciaExampleScenario.node[433].appl,1,9,0
ProvidenciaExampleScenario.node[244].appl,1,2,0
ProvidenciaExampleScenario.node[492].appl,1,2,0
ProvidenciaExampleScenario.node[124].appl,1,15,0
ProvidenciaExampleScenario.node[357].appl,1,0,0
ProvidenciaExampleScenario.node[490].appl,1,2,0
ProvidenciaExampleScenario.node[58].appl,1,0,0
ProvidenciaExampleScenario.node[343].appl,1,0,0
ProvidenciaExampleScenario.node[341].appl,1,4,0
ProvidenciaExampleScenario.node[463].appl,1,8,0
ProvidenciaExampleScenario.node[153].appl,1,0,0
ProvidenciaExampleScenario.node[51].appl,1,33,0
ProvidenciaExampleScenario.node[65].appl,1,32,0
ProvidenciaExampleScenario.node[284].appl,1,0,0
ProvidenciaExampleScenario.node[207].appl,1,0,0
ProvidenciaExampleScenario.node[384].appl,1,2,0
ProvidenciaExampleScenario.node[48].appl,1,18,0
ProvidenciaExampleScenario.node[319].appl,1,13,0
ProvidenciaExampleScenario.node[479].appl,1,0,0
ProvidenciaExampleScenario.node[267].appl,1,0,0
ProvidenciaExampleScenario.node[478].appl,1,8,0
ProvidenciaExampleScenario.node[175].appl,1,2,0
ProvidenciaExampleScenario.node[192].appl,1,9,0
ProvidenciaExampleScenario.node[90].appl,1,19,0
ProvidenciaExampleScenario.node[355].appl,1,6,0
ProvidenciaExampleScenario.node[132].appl,1,19,0
ProvidenciaExampleScenario.node[240].appl,1,2,0
ProvidenciaExampleScenario.node[235].appl,1,8,0
ProvidenciaExampleScenario.node[95].appl,1,19,0
ProvidenciaExampleScenario.node[200].appl,1,9,0
ProvidenciaExampleScenario.node[221].appl,1,9,0
ProvidenciaExampleScenario.node[180].appl,1,19,0
ProvidenciaExampleScenario.node[97].appl,1,2,0
ProvidenciaExampleScenario.node[220].appl,1,17,0
ProvidenciaExampleScenario.node[293].appl,1,2,0
ProvidenciaExampleScenario.node[251].appl,1,3,0
ProvidenciaExampleScenario.node[66].appl,1,2,0
